Bedrooms,Bedrooms(category),Property Category,Price,Price(with currency),District,Scraped_At
3,3 bedrooms,"3bdrm Duplex in Hamptons, Maitama for rent",20500000,"₦ 20,500,000",Maitama,2026-05-30 13:26:35
2,2 bedrooms,"Furnished 2bdrm Apartment in Paradise Court, Idu Industrial for rent",70000,"₦ 70,000",Idu Industrial,2026-05-30 13:26:35
2,2 bedrooms,"2bdrm Block of Flats in Sauka Newsite Estate, FHA for rent",2500000,"₦ 2,500,000",FHA,2026-05-30 13:26:35
2,2 bedrooms,Furnished 2bdrm House in Pentville Estate for rent,8000000,"₦ 8,000,000",Lokogoma,2026-05-30 13:26:35
4,4 bedrooms,"Furnished 4bdrm Duplex in Aldenco, Lugbe District for rent",20000000,"₦ 20,000,000",Lugbe District,2026-05-30 13:26:35
4,4 bedrooms,4bdrm Duplex in Jahi for rent,10000000,"₦ 10,000,000",Jahi,2026-05-30 13:26:35
1,1 bedroom,"Furnished 1bdrm Apartment in Iyoba Apartment, Durumi for rent",5000000,"₦ 5,000,000",Durumi,2026-05-30 13:26:35
1,1 bedroom,"Furnished 1bdrm Shared Apartment in Aston Luxury, Apo District for rent",500000,"₦ 500,000",Apo District,2026-05-30 13:26:35
1,1 bedroom,"Studio Apartment in Freedom Avenue, Dutse-Alhaji for rent",600000,"₦ 600,000",Dutse-Alhaji,2026-05-30 13:26:35
3,3 bedrooms,Furnished 3bdrm Block of Flats in Cbn Senior Quarters for rent,13000000,"₦ 13,000,000",Area 11,2026-05-30 13:26:35
3,3 bedrooms,3bdrm Apartment in Jahi for rent,11500000,"₦ 11,500,000",Jahi,2026-05-30 13:26:35
2,2 bedrooms,"2bdrm Apartment in River Park Estate, FHA for rent",6000000,"₦ 6,000,000",FHA,2026-05-30 13:26:35
6,6 bedrooms,"6bdrm Duplex in Gwarinpa Estate, Bunkoro for rent",15000000,"₦ 15,000,000",Bunkoro,2026-05-30 13:26:35
3,3 bedrooms,3bdrm Block of Flats in Wuse 2 for rent,15000000,"₦ 15,000,000",Wuse 2,2026-05-30 13:26:35
5,5 bedrooms,5bdrm Duplex in Zone B for rent,14000000,"₦ 14,000,000",Zone B,2026-05-30 13:26:35
2,2 bedrooms,Furnished 2bdrm Apartment in Utako for rent,4000000,"₦ 4,000,000",Utako,2026-05-30 13:26:35
