Property Category,Price (Per Annum),Location,Scraped_At
Conference / meeting / training room for rent,"₦300,000","Wuse 2, Abuja",2026-06-01 11:08:04
4 bedroom house for rent,"₦15,000,000","Mabushi, Abuja",2026-06-01 11:08:04
2 bedroom flat / apartment for rent,"₦6,500,000","Guzape District, Abuja",2026-06-01 11:08:04
8 bedroom detached duplex for rent,"₦40,000,000","Off Aliyu Modibbo Street, Guzape District, Abuja",2026-06-01 11:08:04
4 bedroom flat / apartment for rent,"₦40,000,000","Ibrahim Babangida Blvd, Maitama District, Abuja",2026-06-01 11:08:04
3 bedroom flat / apartment for rent,"₦45,000,000","Off Mtn Office, Maitama District, Abuja",2026-06-01 11:08:04
6 bedroom detached duplex for rent,"₦60,000,000","Jabi, Abuja",2026-06-01 11:08:04
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe, Abuja",2026-06-01 11:08:04
3 bedroom flat / apartment for rent,"₦6,000,000","Idu Industrial, Abuja",2026-06-01 11:08:04
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:08:04
2 bedroom flat / apartment for rent,"₦7,000,000","By New Judges Quarters In An Estate, Katampe (Main), Katampe, Abuja",2026-06-01 11:08:04
6 bedroom terraced duplex for rent,"₦22,000,000","Main, Katampe Extension, Katampe, Abuja",2026-06-01 11:08:04
2 bedroom flat / apartment for rent,"₦10,000,000","Asokoro District, Abuja",2026-06-01 11:08:04
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape District, Abuja",2026-06-01 11:08:04
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:08:11
3 bedroom flat / apartment for rent,"₦5,000,000","Golden Street., Kaura, Abuja",2026-06-01 11:08:11
3 bedroom flat / apartment for rent,"₦17,000,000","Maitama Main, Maitama District, Abuja",2026-06-01 11:08:11
2 bedroom flat / apartment for rent,"₦5,000,000","American International School, Garki, Abuja",2026-06-01 11:08:11
3 bedroom flat / apartment for rent,"₦17,000,000","Off Ibb Way., Maitama District, Abuja",2026-06-01 11:08:11
2 bedroom flat / apartment for rent,"₦2,500,000","Phase 4, Kubwa, Abuja",2026-06-01 11:08:11
3 bedroom detached bungalow for rent,"₦15,000,000","Suncity, Galadimawa, Abuja",2026-06-01 11:08:11
4 bedroom detached duplex for rent,"₦14,000,000","Suncity Estate, Galadimawa, Abuja",2026-06-01 11:08:11
Self contain (single rooms) for rent,"₦1,200,000","Along Pyakasa, Lugbe District, Abuja",2026-06-01 11:08:11
4 bedroom terraced duplex for rent,"₦17,000,000","Jahi, Abuja",2026-06-01 11:08:11
20 bedroom commercial property for rent,"₦90,000,000","3rd Avenue, Gwarinpa, Abuja",2026-06-01 11:08:11
2 bedroom flat / apartment for rent,"₦20,000,000","Wuye, Abuja",2026-06-01 11:08:11
3 bedroom flat / apartment for rent,"₦25,000,000","Jahi, Abuja",2026-06-01 11:08:11
4 bedroom terraced duplex for rent,"₦35,000,000","Guzape, Guzape District, Abuja",2026-06-01 11:08:11
4 bedroom flat / apartment for rent,"₦13,000,000","Guzape, Guzape District, Abuja",2026-06-01 11:08:11
2 bedroom flat / apartment for rent,"₦15,000,000","Wuse 2, Abuja",2026-06-01 11:08:11
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","Gaduwa, Abuja",2026-06-01 11:08:11
6 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:08:11
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye, Abuja",2026-06-01 11:08:11
3 bedroom flat / apartment for rent,"₦17,000,000","Maitama District, Abuja",2026-06-01 11:08:11
2 bedroom terraced duplex for rent,"₦10,000,000","Asokoro District, Abuja",2026-06-01 11:08:11
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:08:20
2 bedroom terraced duplex for rent,"₦10,000,000","Asokoro District, Abuja",2026-06-01 11:08:20
Plaza / complex / mall for rent,"₦3,000,000","Garki 2, Garki, Abuja",2026-06-01 11:08:20
5 bedroom detached duplex for rent,"₦11,000,000","Gaduwa, Abuja",2026-06-01 11:08:20
4 bedroom detached duplex for rent,"₦10,000,000","Gaduwa, Abuja",2026-06-01 11:08:20
7 bedroom detached duplex for rent,"₦40,000,000","Wuse 2, Abuja",2026-06-01 11:08:20
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye, Abuja",2026-06-01 11:08:20
6 bedroom detached duplex for rent,"₦30,000,000","Guzape By Hmedix, Guzape District, Abuja",2026-06-01 11:08:20
2 bedroom flat / apartment for rent,"₦4,500,000","Jahi, Abuja",2026-06-01 11:08:20
4 bedroom detached duplex for rent,"₦8,000,000","Kado Estate, Kado, Abuja",2026-06-01 11:08:20
3 bedroom flat / apartment for rent,"₦17,000,000","Maitama District, Abuja",2026-06-01 11:08:20
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape District, Abuja",2026-06-01 11:08:20
3 bedroom flat / apartment for rent,"₦17,000,000","Maitama District, Abuja",2026-06-01 11:08:20
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:08:20
5 bedroom house for rent,"₦70,000,000","Wuse 2, Abuja",2026-06-01 11:08:20
3 bedroom semi-detached duplex for rent,"₦10,000,000","Apo, Abuja",2026-06-01 11:08:20
1 bedroom flat / apartment for rent,"₦7,000,000","Gilmore, Jahi, Abuja",2026-06-01 11:08:20
Shop for rent,"₦5,500,000","4th Avenue, Gwarinpa, Abuja",2026-06-01 11:08:20
Self contain (single rooms) for rent,"₦1,300,000","By American International School, Durumi, Abuja",2026-06-01 11:08:20
5 bedroom detached duplex for rent,"₦60,000,000","Guzape District, Abuja",2026-06-01 11:08:20
4 bedroom semi-detached duplex for rent,"₦25,000,000","Off Aminu Kano Crescent, Wuse 2, Abuja",2026-06-01 11:08:20
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:08:29
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja",2026-06-01 11:08:29
