District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At,Source
Mabushi,4,12000000.0,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:09,Jiji
Jabi,2,5500000.0,House,House,"2bdrm Bungalow in Efab City, Jabi for rent",2026-05-30 13:27:09,Jiji
Wuye,4,20000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:27:09,Jiji
Gwarinpa,1,658750.0,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:09,Jiji
Galadimawa,3,6500000.0,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Main Galadimawa for rent,2026-05-30 13:27:09,Jiji
Gwarinpa,1,922250.0,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:09,Jiji
Kubwa,3,6000000.0,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",2026-05-30 13:27:09,Jiji
Kubwa,1,2300000.0,Apartment,Apartment,"1bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:27:09,Jiji
Jahi,1,6000000.0,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:27:09,Jiji
Mabushi,4,12000000.0,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:09,Jiji
Wuse,4,19999999.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuse for rent,2026-05-30 13:27:09,Jiji
Gwarinpa,3,3500000.0,Apartment,Apartment,"3bdrm Block of Flats in Justice Estate, Gwarinpa for rent",2026-05-30 13:27:09,Jiji
Gwarinpa,3,8000000.0,House,House,"3bdrm Bungalow in Efab Queens, Gwarinpa for rent",2026-05-30 13:27:09,Jiji
Jahi,4,18000000.0,Duplex,Detached Duplex,4bdrm Duplex in Jahi Gilmore Fct for rent,2026-05-30 13:27:09,Jiji
Galadimawa,3,3800000.0,Apartment,Apartment,"3bdrm Block of Flats in Pries Estate, Galadimawa for rent",2026-05-30 13:27:17,Jiji
Wuye,3,8000000.0,Apartment,Apartment,"3bdrm Block of Flats in E, Wuye for rent",2026-05-30 13:27:17,Jiji
Galadimawa,4,8000000.0,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:27:17,Jiji
Wuye,4,25000000.0,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:27:17,Jiji
Asokoro,5,25000000.0,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Asokoro Main for rent,2026-05-30 13:27:17,Jiji
Gwarinpa,1,658750.0,Apartment,Apartment,Furnished 1bdrm Apartment in Gwarinpa for rent,2026-05-30 13:27:17,Jiji
Jahi,4,15000000.0,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:27:17,Jiji
Maitama,5,90000000.0,House,House,Furnished 5bdrm Mansion in Maitama for rent,2026-05-30 13:27:17,Jiji
