District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At
Asokoro,4,25000000,Duplex,Terraced Duplex,"Furnished 4bdrm Townhouse / Terrace in Jimmy Carter, Asokoro for rent",2026-05-30 13:27:09
Maitama,5,80000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:27:09
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:09
Jabi,2,5500000,House,House,"2bdrm Bungalow in Efab City, Jabi for rent",2026-05-30 13:27:09
Wuye,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:27:09
Gwarinpa,1,658750,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:09
Galadimawa,3,6500000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Main Galadimawa for rent,2026-05-30 13:27:09
Gwarinpa,1,922250,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:09
Kubwa,3,6000000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",2026-05-30 13:27:09
Kubwa,1,2300000,Apartment,Apartment,"1bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:27:09
Jahi,1,6000000,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:27:09
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:09
Wuse,4,19999999,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuse for rent,2026-05-30 13:27:09
Gwarinpa,3,3500000,Apartment,Apartment,"3bdrm Block of Flats in Justice Estate, Gwarinpa for rent",2026-05-30 13:27:09
Gwarinpa,3,8000000,House,House,"3bdrm Bungalow in Efab Queens, Gwarinpa for rent",2026-05-30 13:27:09
Jahi,4,18000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi Gilmore Fct for rent,2026-05-30 13:27:09
Galadimawa,3,3800000,Apartment,Apartment,"3bdrm Block of Flats in Pries Estate, Galadimawa for rent",2026-05-30 13:27:17
Wuye,3,8000000,Apartment,Apartment,"3bdrm Block of Flats in E, Wuye for rent",2026-05-30 13:27:17
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:27:17
Wuye,4,25000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:27:17
Asokoro,5,25000000,Duplex,Terraced Duplex,5bdrm Townhouse / Terrace in Asokoro Main for rent,2026-05-30 13:27:17
Gwarinpa,1,658750,Apartment,Apartment,Furnished 1bdrm Apartment in Gwarinpa for rent,2026-05-30 13:27:17
Jahi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:27:17
Maitama,5,90000000,House,House,Furnished 5bdrm Mansion in Maitama for rent,2026-05-30 13:27:17
Kado,4,8000000,House,House,4bdrm Bungalow in Kado for rent,2026-05-30 13:27:17
Asokoro,4,40000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:27:17
Gwarinpa,3,7000000,Apartment,Apartment,"3bdrm Block of Flats in Gwarimpa, Gwarinpa for rent",2026-05-30 13:27:17
Gwarinpa,1,922250,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:27:17
Gwarinpa,5,15000000,Duplex,Detached Duplex,"5bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:27:17
Gwarinpa,3,7000000,House,House,"3bdrm Bungalow in Efab Version,By, Gwarinpa for rent",2026-05-30 13:27:17
Kubwa,3,6000000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Dantata Estate, Kubwa for rent",2026-05-30 13:27:17
Jahi,3,25000000,Apartment,Apartment,Furnished 3bdrm Apartment in Jahi for rent,2026-05-30 13:27:17
Jahi,1,6000000,Apartment,Apartment,1bdrm Apartment in Jahi for rent,2026-05-30 13:27:17
Maitama,4,35000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:27:17
Kubwa,1,2300000,Apartment,Apartment,"1bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:27:17
Jahi,3,10000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:27:26
Maitama,5,50000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:27:26
Maitama,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:27:26
Wuye,4,16000000,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:27:26
Gwarinpa,3,9000000,House,House,"3bdrm Bungalow in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:27:26
Gwarinpa,4,10000000,House,House,"4bdrm Bungalow in Gwarimpa Extension, Gwarinpa for rent",2026-05-30 13:27:26
Lokogoma,2,3999999,Apartment,Apartment,2bdrm Apartment in Lokogoma for rent,2026-05-30 13:27:26
Maitama,3,17000000,Apartment,Apartment,3bdrm Apartment in Maitama for rent,2026-05-30 13:27:26
Gudu,4,12000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Gudu for rent,2026-05-30 13:27:26
Katampe,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Katampe for rent,2026-05-30 13:27:26
Wuye,2,4000000,Apartment,Apartment,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",2026-05-30 13:27:26
Gwarinpa,2,200000,Apartment,Apartment,"Furnished 2bdrm Block of Flats in Gwarimpa Estate,Fct, Gwarinpa",2026-05-30 13:27:26
Jabi,2,5500000,House,House,"2bdrm Bungalow in Efab City, Jabi for rent",2026-05-30 13:27:26
Kaura,3,6000000,House,House,"Furnished 3bdrm Bungalow in Valley City Estate, Kaura for rent",2026-05-30 13:27:26
Galadimawa,3,3800000,Apartment,Apartment,"3bdrm Block of Flats in Pries Estate, Galadimawa for rent",2026-05-30 13:27:26
Gaduwa,4,7999999,Duplex,Detached Duplex,4bdrm Duplex in Gaduwa for rent,2026-05-30 13:27:26
Kubwa,3,3800000,Apartment,Apartment,"Furnished 3bdrm Block of Flats in F01, Kubwa for rent",2026-05-30 13:27:26
Jahi,4,18000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:27:26
Katampe,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Katampe for rent,2026-05-30 13:27:33
Wuye,2,4000000,Apartment,Apartment,"Furnished 2bdrm Apartment in Auta Ibrahim Street, Wuye for rent",2026-05-30 13:27:33
Jahi,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:27:33
Jahi,4,18000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:27:33
Asokoro,4,40000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:27:33
Mabushi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:27:33
