District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At
Maitama,4,30000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:39
Kado,3,18000000,House,House,Furnished 3bdrm Bungalow in Kado Estate Phase 1 for rent,2026-05-30 13:31:39
Maitama,7,100000000,Duplex,Detached Duplex,7bdrm Duplex in Maitama for rent,2026-05-30 13:31:39
Wuye,2,15000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Wuye for rent,2026-05-30 13:31:39
Wuye,4,18000000,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:31:39
Asokoro,2,10000000,House,House,"2bdrm Bungalow in Abuja, Asokoro for rent",2026-05-30 13:31:39
Asokoro,7,150000000,Duplex,Detached Duplex,Furnished 7bdrm Duplex in Asokoro for rent,2026-05-30 13:31:39
Asokoro,1,3500000,House,House,1bdrm Bungalow in Asokoro for rent,2026-05-30 13:31:39
Karu,1,800000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:31:39
Karu,1,400000,Apartment,Self Contain,Studio Apartment in Karu for rent,2026-05-30 13:31:39
Karu,1,350000,Apartment,Self Contain,Studio Apartment in Karu for rent,2026-05-30 13:31:39
Utako,1,5000000,Apartment,Apartment,1bdrm Block of Flats in Utako for rent,2026-05-30 13:31:44
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:31:44
Kubwa,2,5000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:31:44
Kaura,3,6000000,House,House,"Furnished 3bdrm Bungalow in Valley City Estate, Kaura for rent",2026-05-30 13:31:44
Durumi,1,3000000,Apartment,Apartment,"1bdrm Apartment in Swan Street, Durumi for rent",2026-05-30 13:31:44
Kado,4,20000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Kado for rent,2026-05-30 13:31:44
Kado,6,18000000,House,House,6bdrm Bungalow in Kado for rent,2026-05-30 13:31:44
Jahi,2,9000000,Apartment,Apartment,2bdrm Apartment in Jahi Gilmore for rent,2026-05-30 13:31:44
Wuye,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Wuye for rent,2026-05-30 13:31:44
Gaduwa,3,4500000,Apartment,Apartment,"Furnished 3bdrm Apartment in Mustapha Crescent, Gaduwa for rent",2026-05-30 13:31:44
Maitama,4,45000000,Apartment,Apartment,4bdrm Block of Flats in Maitama Property for rent,2026-05-30 13:31:44
Gwarinpa,5,14000000,Duplex,Detached Duplex,"5bdrm Duplex in Gwarimpa Estate By, Gwarinpa for rent",2026-05-30 13:31:44
Maitama,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama Property for rent,2026-05-30 13:31:44
Jahi,4,20000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:31:44
Asokoro,4,27000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Asokoro for rent,2026-05-30 13:31:44
Gwarinpa,5,18000000,House,House,"5bdrm Mansion in Efab Metropolitan, Gwarinpa for rent",2026-05-30 13:31:44
Kubwa,3,6500000,Apartment,Apartment,"Furnished 3bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:31:44
Asokoro,4,17000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:31:44
Maitama,3,180000000,Apartment,Apartment,3bdrm Apartment in Maitama District for rent,2026-05-30 13:31:50
Kaura,3,6500000,Apartment,Apartment,"Furnished 3bdrm Apartment in Mustapha Street, Kaura for rent",2026-05-30 13:31:50
Galadimawa,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Galadimawa for rent,2026-05-30 13:31:50
Asokoro,1,4500000,House,House,"1bdrm Bungalow in Naf Valley Estate, Asokoro for rent",2026-05-30 13:31:50
Maitama,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama for rent,2026-05-30 13:31:50
Asokoro,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:31:50
Karu,1,800000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:31:50
Karu,1,1200000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:31:50
Karu,3,2000000,House,House,3bdrm Bungalow in Karu for rent,2026-05-30 13:31:50
Maitama,3,45000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:50
Gwarinpa,3,8000000,House,House,"3bdrm Bungalow in Efab Verizon, Gwarinpa for rent",2026-05-30 13:31:50
Jahi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Very for rent",2026-05-30 13:31:50
Gwarinpa,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate Fct, Gwarinpa for rent",2026-05-30 13:31:50
Idu,5,350000000,Duplex,Detached Duplex,"5bdrm Duplex in In A Private Estate, Idu for rent",2026-05-30 13:31:50
Kubwa,2,4000000,Apartment,Apartment,"2bdrm Block of Flats in Main Fo1, Kubwa for rent",2026-05-30 13:31:57
Gwarinpa,3,12000000,House,House,"3bdrm Bungalow in Efab Queen, Gwarinpa for rent",2026-05-30 13:31:57
Kubwa,2,4500000,Duplex,Terraced Duplex,"2bdrm Townhouse / Terrace in Fo1, Kubwa for rent",2026-05-30 13:31:57
Maitama,4,40000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:57
Life Camp,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Life  Camp  Estate for rent,2026-05-30 13:31:57
Kaura,3,6500000,Apartment,Apartment,"Furnished 3bdrm Apartment in Mustapha Street, Kaura for rent",2026-05-30 13:31:57
Wuye,6,25000000,Duplex,Detached Duplex,"Furnished 6bdrm Duplex in Jessy Street, Wuye for rent",2026-05-30 13:31:57
Maitama,1,5500000,Apartment,Apartment,1bdrm Block of Flats in Maitama for rent,2026-05-30 13:31:57
Life Camp,3,7500000,Duplex,Detached Duplex,3bdrm Duplex in Life Camp for rent,2026-05-30 13:31:57
Asokoro,2,10000000,Apartment,Apartment,2bdrm Apartment in Asokoro for rent,2026-05-30 13:31:57
Karu,1,1350000,Apartment,Apartment,1bdrm Apartment in Nurses Estate City for rent,2026-05-30 13:31:57
Karu,1,700000,House,House,1bdrm Room & Parlour in Karu for rent,2026-05-30 13:31:57
Karu,1,1200000,Apartment,Apartment,"1bdrm Apartment in Nurses Estate, Karu for rent",2026-05-30 13:31:57
Maitama,5,60000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:31:57
Jahi,3,75000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:31:57
Karu,2,5000000,Apartment,Apartment,2bdrm Block of Flats in Karu for rent,2026-05-30 13:32:05
Jahi,3,8500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:32:05
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:05
Gwarinpa,3,12000000,House,House,"3bdrm Bungalow in Efab Queen Estate, Gwarinpa for rent",2026-05-30 13:32:05
Katampe,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Katampe for rent,2026-05-30 13:32:05
Gwarinpa,4,11000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate Fct, Gwarinpa for rent",2026-05-30 13:32:05
Asokoro,6,65000000,Duplex,Detached Duplex,6bdrm Duplex in Asokoro Property for rent,2026-05-30 13:32:05
Kubwa,2,4000000,Apartment,Apartment,"2bdrm Block of Flats in Main Fo1, Kubwa for rent",2026-05-30 13:32:05
Lokogoma,2,4000000,Apartment,Apartment,"Furnished 2bdrm Block of Flats in Pries Estate, Lokogoma for rent",2026-05-30 13:32:05
Idu,3,9000000,Apartment,Apartment,Furnished 3bdrm Apartment in Idu for rent,2026-05-30 13:32:05
Jahi,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Jahi Gilmore for rent,2026-05-30 13:32:05
Wuye,3,10000000,Apartment,Apartment,3bdrm Apartment in Wuye for rent,2026-05-30 13:32:05
Jahi,3,14000000,Apartment,Apartment,Furnished 3bdrm Apartment in Jahi Furnished for rent,2026-05-30 13:32:05
Wuye,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:32:05
Maitama,2,30000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Maitama Estate for rent,2026-05-30 13:32:05
Wuye,3,9000000,Apartment,Apartment,"3bdrm Apartment in Kings Street, Wuye for rent",2026-05-30 13:32:05
Kaura,4,18000000,Duplex,Detached Duplex,"4bdrm Duplex in Games Village, Kaura for rent",2026-05-30 13:32:05
Asokoro,1,3000000,Apartment,Self Contain,Studio Apartment in Asokoro for rent,2026-05-30 13:32:05
Maitama,5,65000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:32:05
Karu,1,1500000,Apartment,Apartment,"1bdrm Apartment in Nurses Estate Phase, Karu for rent",2026-05-30 13:32:11
Jahi,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:32:11
Jahi,3,18000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:32:11
Gwarinpa,3,15000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Gwarimpa Extension, Gwarinpa for rent",2026-05-30 13:32:11
Kubwa,2,3000000,Apartment,Apartment,"2bdrm Block of Flats in Non, Kubwa for rent",2026-05-30 13:32:11
Gwarinpa,4,11000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:32:11
Jahi,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Very for rent",2026-05-30 13:32:11
Utako,4,17000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Utako for rent,2026-05-30 13:32:11
Maitama,3,13500000,Apartment,Apartment,Furnished 3bdrm Block of Flats in Maitama Apartment for rent,2026-05-30 13:32:11
Galadimawa,3,7000000,Duplex,Detached Duplex,"3bdrm Duplex in Grace Valley Estate, Galadimawa for rent",2026-05-30 13:32:11
Gaduwa,3,4500000,Apartment,Apartment,"Furnished 3bdrm Apartment in Mustapha Crescent, Gaduwa for rent",2026-05-30 13:32:11
Asokoro,4,25000000,Duplex,Detached Duplex,"4bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:11
Asokoro,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:32:11
Karu,1,500000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:32:11
Jabi,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Jabi for rent,2026-05-30 13:32:16
Karu,1,650000,House,House,1bdrm Room & Parlour in Karu for rent,2026-05-30 13:32:16
Asokoro,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:32:16
Karu,1,700000,House,House,1bdrm Room & Parlour in Karu for rent,2026-05-30 13:32:16
Karu,1,800000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:32:16
Kaura,3,6500000,Apartment,Apartment,"Furnished 3bdrm Apartment in Mustapha Street, Kaura for rent",2026-05-30 13:32:16
Jahi,3,8500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:32:16
Asokoro,8,70000000,Duplex,Detached Duplex,8bdrm Duplex in Asokoro for rent,2026-05-30 13:32:16
Kubwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Kubwa for rent,2026-05-30 13:32:16
Kubwa,2,5000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:16
Life Camp,3,68000000,Apartment,Apartment,3bdrm Block of Flats in Life Camp Abuja for rent,2026-05-30 13:32:16
Life Camp,3,7500000,Apartment,Apartment,3bdrm Apartment in Life Camp for rent,2026-05-30 13:32:16
Jabi,3,35000000,Apartment,Apartment,Furnished 3bdrm Apartment in Jabi for rent,2026-05-30 13:32:16
Idu,3,9000000,Apartment,Apartment,Furnished 3bdrm Apartment in Idu for rent,2026-05-30 13:32:16
Life Camp,5,14000000,Duplex,Detached Duplex,5bdrm Duplex in Life Camp Tarred for rent,2026-05-30 13:32:16
Jahi,3,14000000,Apartment,Apartment,Furnished 3bdrm Apartment in Jahi Furnished for rent,2026-05-30 13:32:16
Maitama,6,90000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama Property for rent,2026-05-30 13:32:16
Maitama,2,30000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Maitama Estate for rent,2026-05-30 13:32:16
Maitama,3,10000000,Apartment,Apartment,3bdrm Apartment in Maitama for rent,2026-05-30 13:32:16
Asokoro,2,7000000,Apartment,Apartment,"2bdrm Apartment in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:16
Wuye,4,20000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Main Wuye for rent,2026-05-30 13:32:16
Kaura,3,6500000,Apartment,Apartment,"Furnished 3bdrm Apartment in Mustapha Street, Kaura for rent",2026-05-30 13:32:24
Karu,1,1350000,Apartment,Apartment,1bdrm Apartment in Nurses Estate City for rent,2026-05-30 13:32:24
Karu,1,700000,House,House,1bdrm Room & Parlour in Karu for rent,2026-05-30 13:32:24
Karu,1,1200000,Apartment,Apartment,"1bdrm Apartment in Nurses Estate, Karu for rent",2026-05-30 13:32:24
Mabushi,4,13000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:32:24
Jahi,3,12000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:32:24
Kubwa,2,3000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:24
Life Camp,5,14000000,Duplex,Detached Duplex,5bdrm Duplex in Life Camp Tarred for rent,2026-05-30 13:32:24
Kado,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Kado Phase 2,Fct for rent",2026-05-30 13:32:24
Jahi,3,9000000,Apartment,Apartment,"3bdrm Block of Flats in Jahi Gilmore,Fct for rent",2026-05-30 13:32:24
Life Camp,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Life Camp for rent,2026-05-30 13:32:24
Jabi,7,60000000,Duplex,Detached Duplex,7bdrm Duplex in Jabi Detached Duplex for rent,2026-05-30 13:32:24
Maitama,4,40000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:32:24
Jabi,3,15000000,Apartment,Apartment,Furnished 3bdrm Block of Flats in Jabi Apartment for rent,2026-05-30 13:32:24
Maitama,6,80000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama Property for rent,2026-05-30 13:32:24
Asokoro,4,35000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:32:24
Asokoro,2,10000000,Duplex,Detached Duplex,2bdrm Duplex in Naf Valley Estate for rent,2026-05-30 13:32:24
Asokoro,3,12000000,Apartment,Apartment,3bdrm Apartment in Asokoro for rent,2026-05-30 13:32:24
Karu,1,1200000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:32:24
Kubwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Kubwa for rent,2026-05-30 13:32:33
Katampe,3,15000000,Apartment,Apartment,3bdrm Block of Flats in Katampe for rent,2026-05-30 13:32:33
Jahi,5,17000000,Duplex,Detached Duplex,"5bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:32:33
Gwarinpa,3,10000000,Duplex,Detached Duplex,"3bdrm Duplex in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:32:33
Kado,4,18000000,House,House,4bdrm House in Kado Face 2 Abuja for rent,2026-05-30 13:32:33
Jahi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi Property for rent,2026-05-30 13:32:33
Maitama,5,50000000,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Maitama for rent,2026-05-30 13:32:33
Maitama,2,20000000,Apartment,Apartment,2bdrm Apartment in Maitama for rent,2026-05-30 13:32:33
Asokoro,4,12000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Asokoro for rent,2026-05-30 13:32:33
Maitama,8,50000000,Duplex,Detached Duplex,8bdrm Duplex in Maitama for rent,2026-05-30 13:32:33
Karu,1,650000,House,House,1bdrm Room & Parlour in Karu for rent,2026-05-30 13:32:33
Karu,2,2000000,House,House,2bdrm Bungalow in Karu for rent,2026-05-30 13:32:33
Karu,1,700000,House,House,1bdrm Room & Parlour in Karu for rent,2026-05-30 13:32:33
Asokoro,3,35000000,Apartment,Apartment,3bdrm Block of Flats in Asokoro for rent,2026-05-30 13:32:33
Maitama,5,60000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:32:33
Jahi,3,75000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:32:33
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:33
Asokoro,6,70000000,Duplex,Detached Duplex,Furnished 6bdrm Duplex in Asokoro for rent,2026-05-30 13:32:39
Karu,1,370000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:32:39
Karu,1,1000000,Apartment,Apartment,1bdrm Apartment in Karu for rent,2026-05-30 13:32:39
Karu,2,1300000,House,House,"2bdrm Bungalow in Lape Estate, Karu for rent",2026-05-30 13:32:39
Jahi,3,18000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Jahi for rent,2026-05-30 13:32:39
Maitama,3,25000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:32:39
Life Camp,3,7500000,Apartment,Apartment,3bdrm Block of Flats in Life Camp for rent,2026-05-30 13:32:39
Jahi,2,12000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jahi Furnished for rent,2026-05-30 13:32:39
Jahi,2,250000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jahi Apartment for rent,2026-05-30 13:32:39
Katampe,3,15000000,Apartment,Apartment,3bdrm Block of Flats in Katampe for rent,2026-05-30 13:32:39
Maitama,4,75000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama Property for rent,2026-05-30 13:32:39
Life Camp,4,15000000,Duplex,Detached Duplex,"4bdrm Duplex in Non, Life Camp for rent",2026-05-30 13:32:39
Gwarinpa,1,20000000,Duplex,Detached Duplex,"1bdrm Duplex in Gwarimpa Abuja By, Gwarinpa for rent",2026-05-30 13:32:39
Kubwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Kubwa for rent,2026-05-30 13:32:39
Maitama,8,150000000,House,House,8bdrm Mansion in Maitama for rent,2026-05-30 13:32:39
Asokoro,6,25000000,Duplex,Detached Duplex,"6bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:39
Karu,3,3500000,House,House,"3bdrm Bungalow in Nurses Estate, Karu for rent",2026-05-30 13:32:39
Karu,1,400000,Apartment,Self Contain,Studio Apartment in Karu for rent,2026-05-30 13:32:39
Karu,1,400000,Apartment,Self Contain,Studio Apartment in Karu for rent,2026-05-30 13:32:39
Wuye,3,15000000,Apartment,Apartment,3bdrm Apartment in Wuye for rent,2026-05-30 13:32:39
Maitama,5,35000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:32:46
Asokoro,2,5000000,Apartment,Apartment,2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:32:46
Asokoro,6,48000000,Duplex,Detached Duplex,6bdrm Duplex in Asokoro for rent,2026-05-30 13:32:46
Karu,1,1500000,Apartment,Apartment,1bdrm Apartment in Nurses Estate Phase for rent,2026-05-30 13:32:46
Kubwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Kubwa for rent,2026-05-30 13:32:46
Kubwa,2,5000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:46
Maitama,5,50000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama Estate for rent,2026-05-30 13:32:46
Maitama,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama Property for rent,2026-05-30 13:32:46
Jahi,2,13000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jahi Property for rent,2026-05-30 13:32:46
Wuye,2,25000000,Apartment,Apartment,Furnished 2bdrm Apartment in Wuye for rent,2026-05-30 13:32:46
Life Camp,3,7500000,Apartment,Apartment,3bdrm Apartment in Life Camp for rent,2026-05-30 13:32:46
Asokoro,5,20000000,Duplex,Detached Duplex,"5bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:46
Maitama,3,30000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:32:46
Maitama,2,6000000,House,House,2bdrm Bungalow in Maitama for rent,2026-05-30 13:32:46
Gwarinpa,3,12000000,House,House,"3bdrm Bungalow in Efab Queen Estate, Gwarinpa for rent",2026-05-30 13:32:46
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:46
Idu,3,9000000,Apartment,Apartment,Furnished 3bdrm Apartment in Idu for rent,2026-05-30 13:32:46
Gwarinpa,3,12000000,House,House,"3bdrm Bungalow in Efab Queen Estate, Gwarinpa for rent",2026-05-30 13:32:51
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:51
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:51
Asokoro,4,40000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Asokoro for rent,2026-05-30 13:32:51
Kado,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Kado for rent,2026-05-30 13:32:51
Life Camp,4,250000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp Property for rent,2026-05-30 13:32:51
Asokoro,6,20000000,Duplex,Detached Duplex,"6bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:51
Asokoro,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:32:51
Kubwa,2,3000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:32:51
Jabi,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Jabi for rent,2026-05-30 13:32:51
Asokoro,1,3000000,Apartment,Self Contain,Studio Apartment in Asokoro for rent,2026-05-30 13:32:51
Maitama,3,10000000,Apartment,Apartment,3bdrm Apartment in Maitama for rent,2026-05-30 13:32:51
Life Camp,3,7500000,Apartment,Apartment,3bdrm Block of Flats in Life Camp for rent,2026-05-30 13:32:51
Jahi,2,12000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jahi Furnished for rent,2026-05-30 13:32:51
Wuye,3,15000000,Apartment,Apartment,3bdrm Apartment in Wuye for rent,2026-05-30 13:32:51
Jahi,2,250000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jahi Apartment for rent,2026-05-30 13:32:51
Maitama,4,75000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama Property for rent,2026-05-30 13:32:51
Jabi,2,49000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jabi Property for rent,2026-05-30 13:32:58
Jahi,3,8000000,Apartment,Apartment,3bdrm Block of Flats in Jahi Property for rent,2026-05-30 13:32:58
Jahi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi Property for rent,2026-05-30 13:32:58
Wuse,4,70000000,Duplex,Detached Duplex,4bdrm Duplex in Wuse for rent,2026-05-30 13:32:58
Maitama,8,150000000,House,House,8bdrm Mansion in Maitama for rent,2026-05-30 13:32:58
Asokoro,6,25000000,Duplex,Detached Duplex,"6bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:58
Maitama,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama for rent,2026-05-30 13:32:58
Asokoro,1,4500000,House,House,"1bdrm Bungalow in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:58
Maitama,4,30000000,Duplex,Detached Duplex,4bdrm Duplex in Maitama for rent,2026-05-30 13:32:58
Maitama,5,50000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama Estate for rent,2026-05-30 13:32:58
Jahi,2,13000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jahi Property for rent,2026-05-30 13:32:58
Life Camp,4,250000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp Property for rent,2026-05-30 13:32:58
Asokoro,4,25000000,Duplex,Detached Duplex,"4bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:58
Asokoro,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:32:58
Asokoro,3,15000000,Duplex,Detached Duplex,Furnished 3bdrm Duplex in Asokoro for rent,2026-05-30 13:32:58
Asokoro,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:32:58
Maitama,3,12000000,Apartment,Apartment,Furnished 3bdrm Apartment in Maitama for rent,2026-05-30 13:32:58
Asokoro,3,10000000,Apartment,Apartment,"3bdrm Block of Flats in Naf Valley Estate, Asokoro for rent",2026-05-30 13:32:58
Asokoro,4,12000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Asokoro for rent,2026-05-30 13:32:58
Maitama,8,50000000,Duplex,Detached Duplex,8bdrm Duplex in Maitama for rent,2026-05-30 13:32:58
Jabi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi for rent,2026-05-30 13:33:04
Asokoro,1,6500000,Apartment,Self Contain,Furnished Studio Apartment in Asokoro for rent,2026-05-30 13:33:04
Maitama,4,35000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Maitama for rent,2026-05-30 13:33:04
Asokoro,1,2000000,Apartment,Self Contain,Studio Apartment in Asokoro for rent,2026-05-30 13:33:04
Maitama,1,5500000,Apartment,Apartment,1bdrm Block of Flats in Maitama for rent,2026-05-30 13:33:04
Maitama,2,20000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Maitama for rent,2026-05-30 13:33:04
Asokoro,2,10599000,Apartment,Apartment,Mini Flat in Asokoro for rent,2026-05-30 13:33:04
Maitama,3,12000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:33:04
Life Camp,3,7500000,Duplex,Detached Duplex,3bdrm Duplex in Life Camp for rent,2026-05-30 13:33:04
Asokoro,5,700000000,Duplex,Detached Duplex,"5bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:33:04
