Property Type,Price (Per Annum),Location
6 bedroom detached duplex for rent,"₦80,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦22,000,000","Jabi Lake By Shop Rite, Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Wuye, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"$55,000","Wuse 2, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Meccido Estate, Galadimawa, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Enl Estate Fha, Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦20,000,000","Dakibiyu Airport Bypass, Jabi, Abuja"
3 bedroom house for rent,"₦5,500,000","Near Christ Embassy, Jabi, Abuja"
4 bedroom detached bungalow for rent,"₦3,000,000","Scc Road, Ushafa, Bwari, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","By Shafa Filing Station, Mabushi, Abuja"
2 bedroom house for rent,"₦2,900,000","Chikakore, Kubwa, Abuja"
4 bedroom detached duplex for rent,"₦18,000,000","H-medix, Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","By Mobil, Mabushi, Abuja"
2 bedroom block of flats for rent,"₦75,000,000","Garki 2, Garki, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","River Park Estate, Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","Lifecamp District, Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦7,000,000","Fo1, FO1 Layout, Kubwa, Abuja"
Plaza / complex / mall for rent,"₦3,500,000","By Arab, Utako, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Wuye Main, Wuye, Abuja"
3 bedroom semi-detached duplex for rent,"₦10,000,000","Cluster 1, River Park Estate Airport Road, Lugbe District, Abuja"
Mixed-use land for rent,"₦3,500,000,000","Guzape 2, Guzape District, Abuja"
6 bedroom semi-detached duplex for rent,"₦35,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Tarred Road, Mabushi, Abuja"
4 bedroom semi-detached duplex for rent,"₦300,000,000","Nasarawa Street, War College Quarters, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦3,300,000","Fha By Flyover Hotel, FHA (F.H.A), Lugbe District, Abuja"
6 bedroom semi-detached duplex for rent,"₦35,000,000","Katampe Extension, Katampe, Abuja"
1 bedroom detached bungalow for rent,"₦1,000,000","Dutse, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
2 bedroom house for rent,"₦3,500,000","FO1 Layout, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦6,500,000","Area 8, Garki, Abuja"
5 bedroom detached duplex for rent,"₦75,000,000","Guzape District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦12,000,000","Behind Godab Estate, Life Camp, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦8,000,000","Behind Godab Estate, Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
17 bedroom detached duplex for rent,"$200,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Before Cedarcrest Hospitals, Apo, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Apo-dutse Off Oladipo Diya Before Cedacrest Hospital, Apo, Abuja"
Warehouse for rent,"₦55,000","Idu Industrial, Abuja"
Warehouse for rent,"₦50,000","Idu Industrial, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","By Arab, Utako, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Apo, Abuja"
5 bedroom detached duplex for rent,"₦13,000,000","Gaduwa, Abuja"
5 bedroom terraced duplex for rent,"₦8,000,000","Idu Industrial, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Kado, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Wuse 2, Abuja"
5 bedroom semi-detached duplex for rent,"₦20,000,000","Wuye Main, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","By Gaduwa Junction, Gaduwa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦8,500,000","Highgate Apartments, Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","News Engineering Axis, Dawaki, Gwarinpa, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Jahi, Abuja"
Shop for rent,"₦29,200,000","Zone 2, Wuse, Abuja"
Shop for rent,"₦11,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦26,000,000","Maitama District, Abuja"
Office space for rent,"₦2,500,000","By Ndic, Central Business District, Abuja"
5 bedroom semi-detached duplex for rent,"₦35,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Galadimawa, Abuja"
Shop for rent,"₦35,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Off Jahi/katampe Road, Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Volta Street, Maitama District, Abuja"
Shop for rent,"₦50,000,000","Wuse 2, Abuja"
2 bedroom terraced duplex for rent,"₦6,000,000","Legislative Quarters, Apo, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
6 bedroom detached duplex for rent,"₦20,000,000","Gwarimpa Estate,6th Avenue,fct Abuja, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Area 3, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦200,000,000","By Rita Lori, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Off 3rd Avenue, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦40,000,000","Jabi, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
5 bedroom terraced duplex for rent,"₦30,000,000","Wuye, Abuja"
7 bedroom detached duplex for rent,"₦130,000,000","Main Asokoro, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Oau Quarters, Maitama District, Abuja"
Office space for rent,"₦5,000,000","By Coza, Guzape District, Abuja"
5 bedroom detached duplex for rent,"₦150,000,000","Maitama District, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Kado, Abuja"
4 bedroom detached duplex for rent,"₦35,000,000","Gwarinpa, Abuja"
4 bedroom semi-detached duplex for rent,"₦30,000,000","Jabi, Abuja"
4 bedroom semi-detached duplex for rent,"₦35,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Around Godab, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Asokoro District, Abuja"
Office space for rent,"₦270,000","Central Business District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Mobil Fillings Station, Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","Lusaka Street, Zone 6, Wuse, Abuja"
5 bedroom commercial property for rent,"₦80,000,000","Off Ademola Adetokunbo Crescent, Wuse 2, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦8,000,000","By Nicon Junction Maitama, Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom detached bungalow for rent,"₦5,500,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Guzape District, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
4 bedroom detached duplex for rent,"₦9,000,000","Dakwo, Abuja"
3 bedroom terraced duplex for rent,"₦7,000,000","Dakwo, Abuja"
3 bedroom terraced duplex for rent,"₦160,000,000","Kabusa, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"₦35,000,000","Wuse 2, Abuja"
Warehouse for rent,"₦60,000","Idu Industrial, Abuja"
3 bedroom detached bungalow for rent,"₦15,000,000","Life Camp, Abuja"
4 bedroom flat / apartment for rent,"₦45,000,000","Maitama District, Abuja"
3 bedroom detached duplex for rent,"₦7,000,000","Garki 3, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦35,000,000","Wuse 2, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Katampe Extension, Katampe, Abuja"
Office space for rent,"₦250,000","Plot 212,, Utako, Abuja"
Office space for rent,"₦20,000,000","Wuse, Abuja"
3 bedroom detached bungalow for rent,"₦6,000,000","Gaduwa, Abuja"
4 bedroom detached duplex for rent,"₦11,000,000","River Park Estate, Lugbe District, Abuja"
4 bedroom semi-detached duplex for rent,"₦27,000,000","Jabi, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
5 bedroom terraced duplex for rent,"₦35,000,000","Asokoro District, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Gaduwa, Abuja"
3 bedroom detached duplex for rent,"$180,000","Asokoro Abuja Diplomatic Zone, Asokoro District, Abuja"
Warehouse for rent,"₦7,000,000","Gimbya Street, Area 11, Garki, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","By Berger Clinic (tarred Rd), Life Camp, Abuja"
Self contain (single rooms) for rent,"₦3,000,000","Jahi, Abuja"
3 bedroom terraced duplex for rent,"₦8,000,000","Apo Dutse, By Cedarcrest Hospital, Apo, Abuja"
1 bedroom flat / apartment for rent,"₦1,600,000","Cluster, River Park Estate Airport Road, Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Nizamiye, Idu Industrial, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Close To Dunamis Church Headquarters, Lugbe District, Abuja"
4 bedroom house for rent,"₦30,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Zone E Extension, Apo Resettlement, Apo, Abuja"
5 bedroom flat / apartment for rent,"₦15,000,000","Guzape District, Abuja"
5 bedroom detached duplex for rent,"₦20,000,000","Kado, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦5,500,000","Lennar Hillside Estate, Brick City, Kubwa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,500,000","Lennar Hillside Estate, Kubwa, Abuja"
Self contain (single rooms) for rent,"₦2,500,000","Dalhiru Musdafa Boulevard Street, Wuye, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","By The Lake, Jabi, Abuja"
4 bedroom house for rent,"₦25,000,000","Wuye, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom house for rent,"₦3,000,000","FO1 Layout, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦35,000,000","Jabi, Abuja"
6 bedroom detached duplex for rent,"₦90,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦7,500,000","Jedo Estate Road, Lugbe District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦35,000,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Guzape District, Abuja"
6 bedroom detached duplex for rent,"₦45,000,000","Gwarinpa District, Gwarinpa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","Brick City Estate, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja"
Shop for rent,"₦4,000,000","6th Avenue, Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦13,500,000","Apo By Cedar Crest Hospital, Apo, Abuja"
Office space for rent,"₦130,000,000","Wuse 2, Zone 1, Wuse, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","2nd Floor, Evergreen Estate, Durumi, Abuja"
3 bedroom terraced duplex for rent,"₦20,000,000","Rockvale Manor Estate, Apo, Abuja"
2 bedroom semi-detached duplex for rent,"₦1,200,000","Army Estate, Idu Industrial, Abuja"
3 bedroom detached bungalow for rent,"₦7,000,000","Lokogoma District, Abuja"
Office space for rent,"₦48,000,000","Central Business District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦2,200,000","2/2, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Drol Apartment, Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Games Village, Kaura, Abuja"
Office space for rent,"₦60,000,000","Area 11, Garki, Abuja"
2 bedroom flat / apartment for rent,"$55,000","Sunrise Hills Estate, Asokoro District, Abuja"
Plaza / complex / mall for rent,"₦55,300,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦18,000,000","Katampe Extension, Katampe, Abuja"
Self contain (single rooms) for rent,"₦600,000","Opposite Zenith Bank, Kubwa, Abuja"
18 bedroom flat / apartment for rent,"₦35,000,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
2 bedroom house for rent,"₦12,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦22,000,000","Utako, Abuja"
1 bedroom flat / apartment for rent,"₦12,000,000","Utako, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Saraha Estate, Lokogoma District, Abuja"
2 bedroom semi-detached duplex for rent,"₦7,000,000","Near Stella Maris, Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦2,000,000","Army Estate After The Train Station, Idu Industrial, Abuja"
2 bedroom flat / apartment for rent,"$50,000","By British Village Expatriate Zone, Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
3 bedroom house for rent,"₦25,000,000","Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Main, Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
Office space for rent,"₦210,000,000","Area 11, Garki, Abuja"
Office space for rent,"₦60,000,000","Area 11, Area 11, Garki, Abuja"
Office space for rent,"₦30,000,000","Area 11, Garki, Abuja"
Warehouse for rent,"₦42,000,000","Kuje, Abuja"
1 bedroom flat / apartment for rent,"₦2,500,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Opposite Games Village, Kukwaba, Abuja"
4 bedroom semi-detached duplex for rent,"₦30,000,000","Off Aminu Kano, Wuse 2, Abuja"
3 bedroom house for rent,"₦5,500,000","Kaura, Abuja"
Office space for rent,"₦80,000,000","Area 11, Garki District, Area 11, Garki, Abuja"
Plaza / complex / mall for rent,"₦100,000","FO1 Layout, Kubwa, Abuja"
Shop for rent,"₦30,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","By Mobil, Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦450,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Life Camp, Abuja"
5 bedroom terraced duplex for rent,"₦11,000,000","Dantata District Estate, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
Warehouse for rent,"₦30,000,000","Kubwa Expressway, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦9,500,000","1st Avenue, Gwarinpa, Abuja"
Office space for rent,"₦300,000,000","Utako, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Life Camp, Abuja"
5 bedroom house for rent,"₦10,000,000","Galadimawa, Abuja"
4 bedroom terraced duplex for rent,"₦450,000,000","Guzape District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,800,000","Near Berger Clinic, Life Camp, Abuja"
2 bedroom semi-detached bungalow for rent,"₦4,000,000","6th Avenue Gwarinpa, Gwarinpa, Abuja"
3 bedroom detached bungalow for rent,"₦6,500,000","Karsana, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦5,000,000","Utako, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","1st Avenue, Gwarinpa, Abuja"
2 bedroom semi-detached bungalow for rent,"₦4,000,000","6th Avenue, Gwarinpa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,300,000","Off Gwarinpa Extension, Karsana, Abuja"
4 bedroom semi-detached duplex for rent,"₦18,000,000","Mobil, Before Bannex Bridge, Mabushi, Abuja"
34 bedroom flat / apartment for rent,"₦10,000,000","Off Amino Kano, Wuse 2, Abuja"
Plaza / complex / mall for rent,"₦13,000,000","Off Amino Kano, Wuse 2, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Mareng Estate, Kafe District, By Gwarimpa, Kafe, Abuja"
Self contain (single rooms) for rent,"₦1,600,000","2nd Avenue, Setraco, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Utako, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
1 bedroom detached bungalow for rent,"₦650,000","Liberty Junction, Kubwa, Abuja"
Office space for rent,"₦2,000,000","Garki, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","By Arab (tarred Road), Utako, Abuja"
Plaza / complex / mall for rent,"₦10,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Maitama District, Abuja"
Restaurant / bar for rent,"₦6,000,000","Garki 2, Garki, Abuja"
2 bedroom terraced duplex for rent,"₦7,000,000","Paradise 2 Estate, Life Camp, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Asokoro District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦10,500,000","Wuse 2, Abuja"
Commercial land for rent,"₦15,000,000","Katampe, Abuja"
Office space for rent,"₦56,900","123 Mohammadu Buhari Way, Central Business District, Abuja"
5 bedroom terraced duplex for rent,"₦13,000,000","Life Camp, Abuja"
Office space for rent,"₦5,872,600","4th Floor, Tower C, Churchgate Plaza, Central Business District, Abuja"
Office space for rent,"₦3,899,600","4th Floor,tower C,churchgate Plaza, Central Business District, Abuja"
6 bedroom terraced duplex for rent,"₦50,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦27,000,000","Naf Valley Estate, Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Area 1, Durumi, Abuja"
5 bedroom semi-detached duplex for rent,"₦12,000,000","Near Magistrate Court, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦15,500,000","Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦35,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
Commercial property for rent,"₦9,000,000","Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","Off Arab Road, Kubwa, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","FO1 Layout, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦45,000,000","By Wuye, Utako, Abuja"
7 bedroom detached duplex for rent,"$150,000","Asokoro Main, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","2nd Avenue, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Tf, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe Extension By Diplomatic Zone,fct Abuja Nigeria, Katampe Extension, Katampe, Abuja"
Self contain (single rooms) for rent,"₦850,000","Trade More Phase 3, Lugbe District, Abuja"
Self contain (single rooms) for rent,"₦1,600,000","Apo Resettlement, Apo, Abuja"
Office space for rent,"₦300,000","Zone 5, Wuse, Abuja"
2 bedroom terraced duplex for rent,"₦4,000,000","Off 6th Avenue, Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","Jabi Main, Jabi, Abuja"
2 bedroom semi-detached bungalow for rent,"₦5,500,000","6th Avenue, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦11,000,000","Dantata Estate, Gwarinpa, Abuja"
Office space for rent,"₦3,000,000","Jabi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"₦12,000,000","National Assembly Quarters, Apo, Abuja"
4 bedroom detached duplex for rent,"₦12,000,000","National Assembly Quarters, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Kukwaba, Abuja"
3 bedroom flat / apartment for rent,"₦120,000,000","Gilmore, Jahi, Abuja"
3 bedroom house for rent,"₦8,000,000","By Coza, Guzape District, Abuja"
Self contain (single rooms) for rent,"₦1,800,000","3rd Avenue, Gwarinpa, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Main, Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Main, Guzape District, Abuja"
4 bedroom house for rent,"₦15,000,000","Guzape District, Abuja"
Commercial property for rent,"₦7,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Aiben Estate, Aco District. Airport Road, Lugbe District, Abuja"
3 bedroom house for rent,"$40,000","Katampe Extension, Katampe, Abuja"
Office space for rent,"₦14,500,000","Wuse 2, Abuja"
Office space for rent,"₦19,500,000","Wuse 2, Abuja"
Shop for rent,"₦25,000,000","Wuse 2, Abuja"
Shop for rent,"₦52,000,000","Wuse 2, Abuja"
4 bedroom semi-detached duplex for rent,"₦10,000,000","By Polaris, Life Camp, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Clement Akpamgbo Close, Guzape, Guzape District, Abuja"
3 bedroom detached bungalow for rent,"₦10,000,000","Dabo Estate, Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦7,000,000","Off Lord Lugard Street, Asokoro District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom house for rent,"₦15,000,000","Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","(fully Tarred Rd), Area 11, Garki, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦650,000,000","Guzape, Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦30,000,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Aiben Estate By Aco, Airport Road, Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Wuye District, Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Shafa, Wuye, Abuja"
4 bedroom detached duplex for rent,"₦8,000,000","By Paradise 1, Life Camp, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","By Coza, Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Guzape District, Abuja"
7 bedroom detached duplex for rent,"₦150,000,000","Asokoro District, Abuja"
Office space for rent,"₦10,000,000","Gudu District Close To Legislative Quarters, Gudu, Abuja"
Residential land for rent,"₦1,000,000,000","Gilmore (tarred Road), Jahi, Abuja"
2 bedroom terraced duplex for rent,"₦6,000,000","Lokogoma Expressway, Lokogoma District, Abuja"
Office space for rent,"₦5,265,600","4th Floor, Building Ii, Rivers House, Plot 83 Ralph Shodeinde Street, Central Business District, Abuja"
Office space for rent,"₦733,900","4th Floor, Building Ii, Rivers House, Plot 83 Ralph Shodeinde Street, Central Business District, Abuja"
Shop for rent,"₦13,000,000","Wuse 2, Abuja"
Shop for rent,"₦25,500,000","Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
Shop for rent,"₦19,500,000","Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Dantata Estate, Gwarinpa, Abuja"
4 bedroom flat / apartment for rent,"₦35,000,000","Wuse 2, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","6th Avenue, Gwarinpa, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Ahmed Bello Way, Gwarinpa, Abuja"
4 bedroom semi-detached duplex for rent,"₦20,000,000","Wuye, Abuja"
Plaza / complex / mall for rent,"₦19,000,000","Wuse 2, Abuja"
Shop for rent,"₦18,500,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦8,000,000","Idu Industrial, Abuja"
Plaza / complex / mall for rent,"₦46,305,000","Area 11, Garki, Abuja"
Office space for rent,"₦10,000,000","Area 1, Garki, Abuja"
4 bedroom semi-detached duplex for rent,"₦28,000,000","Wuse 2, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Wuse 2, Abuja"
Office space for rent,"₦123,500,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","By Zartech Tarred Rd, Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Dantata Estate, Gwarinpa, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Dantata Estate, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Asokoro Main, Asokoro District, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Katampe Extension, Katampe, Abuja"
Office space for rent,"₦8,500,000","Utako, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","Katampe, Abuja"
Shop for rent,"₦50,000,000","Jabi, Abuja"
Warehouse for rent,"₦10,000,000","Along Kubwa Express Way, Idu Industrial, Abuja"
Office space for rent,"₦11,000,000","Jabi, Abuja"
Office space for rent,"₦7,000,000","Jabi, Abuja"
Office space for rent,"₦7,000,000","Jabi, Abuja"
3 bedroom semi-detached bungalow for rent,"₦8,500,000","Katampe Extension, Katampe, Abuja"
