Property Type,Price (Per Annum),Location
2 bedroom flat / apartment for rent,"₦15,000,000","No. 1 Niqs Crescent Opposite Maryam Apartment, Mabushi, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
4 bedroom house for rent,"₦15,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Apo Legislative Quaters, Apo, Abuja"
4 bedroom semi-detached duplex for rent,"₦40,000,000","Maitama District, Abuja"
5 bedroom semi-detached duplex for rent,"₦17,000,000","Apo Legislative Quaters., Apo, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom terraced duplex for rent,"₦6,500,000","Kabusa Garden, Dakwo, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Kaura, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","By American International School, Durumi, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
Office space for rent,"₦5,500,000","By Ndic, Central Business District, Abuja"
Office space for rent,"₦11,000,000","By Ndic, Central Business District, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Jabi, Abuja"
3 bedroom detached bungalow for rent,"₦20,000,000","Kado, Abuja"
Office space for rent,"₦35,000,000","By Akara Cafe, Zone 5, Wuse, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Kaura, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","Kaura, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","By Coza, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Near American School, Durumi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦165,000,000","Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Apo Extension By Arab, Apo, Abuja"
Shop for rent,"₦7,500,000","Ademola Adetokunbo, Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Guzape District, Abuja"
5 bedroom terraced duplex for rent,"₦40,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦3,500,000","Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Main Katamoe, Katampe, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja"
5 bedroom semi-detached duplex for rent,"₦25,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Asokoro District, Abuja"
4 bedroom semi-detached duplex for rent,"₦35,000,000","Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Utako, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦45,000,000","Maitama District, Abuja"
3 bedroom detached bungalow for rent,"₦3,000,000","Mouko By Tipper Garrage, Dutse, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦3,500,000","By Shafa, Wuye, Abuja"
